n,depth,Time (s),TPU,TPL,Normalized Depth,Normalized TPU,Normalized TPL,Union-Find Class,Path Compression
1,0,1.8835067749023438e-05,0,0,0.0,0.0,0.0,UnionWeight,NC
11,0,0.00010704994201660156,0,15,0.0,0.0,1.3636363636363635,UnionWeight,NC
21,2,0.0001971721649169922,0,28,0.09523809523809523,0.0,1.3333333333333333,UnionWeight,NC
31,1,0.00029015541076660156,0,47,0.03225806451612903,0.0,1.5161290322580645,UnionWeight,NC
41,2,0.00040602684020996094,0,65,0.04878048780487805,0.0,1.5853658536585367,UnionWeight,NC
51,1,0.0004858970642089844,0,75,0.0196078431372549,0.0,1.4705882352941178,UnionWeight,NC
61,1,0.000576019287109375,0,94,0.01639344262295082,0.0,1.540983606557377,UnionWeight,NC
71,1,0.0007119178771972656,0,114,0.014084507042253521,0.0,1.6056338028169015,UnionWeight,NC
81,1,0.0007808208465576172,0,124,0.012345679012345678,0.0,1.5308641975308641,UnionWeight,NC
91,1,0.0008749961853027344,0,142,0.01098901098901099,0.0,1.5604395604395604,UnionWeight,NC
101,0,0.0009810924530029297,0,150,0.0,0.0,1.4851485148514851,UnionWeight,NC
111,2,0.0010421276092529297,0,164,0.018018018018018018,0.0,1.4774774774774775,UnionWeight,NC
121,1,0.0014340877532958984,0,205,0.008264462809917356,0.0,1.6942148760330578,UnionWeight,NC
131,3,0.0013167858123779297,0,208,0.022900763358778626,0.0,1.5877862595419847,UnionWeight,NC
141,2,0.001644134521484375,0,251,0.014184397163120567,0.0,1.7801418439716312,UnionWeight,NC
151,1,0.0015168190002441406,0,280,0.006622516556291391,0.0,1.8543046357615893,UnionWeight,NC
161,2,0.001544952392578125,0,270,0.012422360248447204,0.0,1.6770186335403727,UnionWeight,NC
171,1,0.0016231536865234375,0,288,0.005847953216374269,0.0,1.6842105263157894,UnionWeight,NC
181,3,0.0017809867858886719,0,301,0.016574585635359115,0.0,1.6629834254143647,UnionWeight,NC
191,1,0.001789093017578125,0,306,0.005235602094240838,0.0,1.6020942408376964,UnionWeight,NC
201,1,0.0019910335540771484,0,355,0.004975124378109453,0.0,1.7661691542288558,UnionWeight,NC
211,1,0.002156972885131836,0,412,0.004739336492890996,0.0,1.95260663507109,UnionWeight,NC
221,3,0.0020461082458496094,0,378,0.013574660633484163,0.0,1.7104072398190044,UnionWeight,NC
231,2,0.0023741722106933594,0,399,0.008658008658008658,0.0,1.7272727272727273,UnionWeight,NC
241,1,0.0023288726806640625,0,422,0.004149377593360996,0.0,1.7510373443983402,UnionWeight,NC
251,1,0.0022521018981933594,0,404,0.00398406374501992,0.0,1.6095617529880477,UnionWeight,NC
261,3,0.0028772354125976562,0,438,0.011494252873563218,0.0,1.6781609195402298,UnionWeight,NC
271,4,0.0031251907348632812,0,523,0.014760147601476014,0.0,1.929889298892989,UnionWeight,NC
281,1,0.0031800270080566406,0,550,0.0035587188612099642,0.0,1.9572953736654803,UnionWeight,NC
291,2,0.003367900848388672,0,508,0.006872852233676976,0.0,1.745704467353952,UnionWeight,NC
301,3,0.0031747817993164062,0,522,0.009966777408637873,0.0,1.73421926910299,UnionWeight,NC
311,1,0.0034902095794677734,0,543,0.003215434083601286,0.0,1.7459807073954985,UnionWeight,NC
321,1,0.0034728050231933594,0,558,0.003115264797507788,0.0,1.7383177570093458,UnionWeight,NC
331,2,0.00397491455078125,0,618,0.006042296072507553,0.0,1.8670694864048338,UnionWeight,NC
341,2,0.003702878952026367,0,576,0.005865102639296188,0.0,1.689149560117302,UnionWeight,NC
351,2,0.003991127014160156,0,658,0.005698005698005698,0.0,1.8746438746438747,UnionWeight,NC
361,2,0.004042148590087891,0,630,0.00554016620498615,0.0,1.745152354570637,UnionWeight,NC
371,1,0.00436091423034668,0,684,0.0026954177897574125,0.0,1.84366576819407,UnionWeight,NC
381,2,0.0040819644927978516,0,636,0.005249343832020997,0.0,1.669291338582677,UnionWeight,NC
391,2,0.0044291019439697266,0,744,0.005115089514066497,0.0,1.9028132992327367,UnionWeight,NC
401,3,0.0044977664947509766,0,760,0.007481296758104738,0.0,1.8952618453865338,UnionWeight,NC
411,4,0.00467991828918457,0,723,0.009732360097323601,0.0,1.7591240875912408,UnionWeight,NC
421,2,0.004644870758056641,0,765,0.004750593824228029,0.0,1.817102137767221,UnionWeight,NC
431,2,0.004930019378662109,0,847,0.004640371229698376,0.0,1.9651972157772621,UnionWeight,NC
441,2,0.0051119327545166016,0,823,0.0045351473922902496,0.0,1.8662131519274376,UnionWeight,NC
451,4,0.0049741268157958984,0,838,0.008869179600886918,0.0,1.8580931263858094,UnionWeight,NC
461,1,0.005089998245239258,0,852,0.0021691973969631237,0.0,1.8481561822125814,UnionWeight,NC
471,1,0.00545501708984375,0,889,0.0021231422505307855,0.0,1.8874734607218684,UnionWeight,NC
481,1,0.005362033843994141,0,916,0.002079002079002079,0.0,1.9043659043659045,UnionWeight,NC
491,1,0.005498170852661133,0,971,0.002036659877800407,0.0,1.9775967413441955,UnionWeight,NC
501,2,0.005738973617553711,0,925,0.003992015968063872,0.0,1.8463073852295409,UnionWeight,NC
511,1,0.00555109977722168,0,937,0.0019569471624266144,0.0,1.8336594911937378,UnionWeight,NC
521,2,0.0060596466064453125,0,925,0.003838771593090211,0.0,1.7754318618042226,UnionWeight,NC
531,2,0.0061969757080078125,0,926,0.003766478342749529,0.0,1.743879472693032,UnionWeight,NC
541,2,0.006489753723144531,0,1057,0.0036968576709796672,0.0,1.9537892791127542,UnionWeight,NC
